Crime Data,,,,,,,,,,,,,,Population,,,,,,,,,,,
South Cambie,48.35,44.00,64.05,62.28,54.83,49.32,44.15,60.89,59.44,43.66,53.10,,,,,,,,,,,,,,
Stanley Park,2108.33,2752.07,2114.75,2170.73,1604.84,1634.92,1574.80,1882.81,692.31,961.54,1749.71,,,,,,,,,,,,,,
Strathcona,181.59,178.15,200.16,201.86,232.34,229.33,242.79,262.74,236.08,180.01,214.51,,,,,,,,,,,,,,
Sunset,35.90,31.98,29.99,28.83,32.38,27.91,31.29,34.51,28.70,25.24,30.67,,,,,,,,,,,,,,
Victoria-Fraserview,24.18,24.40,24.65,23.92,23.27,25.40,23.16,23.84,19.86,18.24,23.09,,,,,,,,,,,,,,
West End,62.92,67.38,72.99,74.86,83.50,80.26,80.75,86.82,63.62,57.58,73.07,,,,,,,,,,,,,,
West Point Grey,32.13,26.05,34.23,34.20,34.90,35.16,31.66,33.73,34.50,25.61,32.22,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
